번호,개방서비스명,소재지전화,도로명전체주소,사업장명,업태구분명,진료과목내용명
1061,의원,031-613-9909,"경기도 화성시 동탄구 동탄지성로 148, 203,204호 (능동, 제이스프라자)",로덴치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
1062,의원,031-8015-0415,"경기도 화성시 동탄구 동탄반석로 134, 302호 (반송동, 에이치원메디컬센터)",Y정신건강의학과의원,의원,정신건강의학과
1063,의원,031-373-1535,"경기도 화성시 동탄구 동탄순환대로 127-23, 우성에듀파크 314호 (산척동)",경희용한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1064,의원,031-613-2875,"경기도 화성시 동탄구 동탄반석로 156, 2층 (반송동, 동탄하이페리온)",아는치과의원,치과의원,통합치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
1065,의원,031-8015-1881,"경기도 화성시 동탄구 동탄지성로 136, 3층 (능동, 우리프라자)",굿모닝항외과의원,의원,외과 내과 소아청소년과 비뇨의학과
1066,의원,031-376-1500,"경기도 화성시 동탄구 10용사로 349-7, 2층 (능동, 세란메디빌딩)",뷰티밸런스의원,의원,피부과 내과 비뇨의학과
1067,의원,031-613-2911,"경기도 화성시 동탄구 동탄솔빛로 53, 2층 204-205호 (반송동, 모닝타운)",솔빛소아청소년과의원,의원,소아청소년과 내과
1068,의원,031-784-8175,"경기도 화성시 동탄구 동탄첨단산업1로 27, 금강펜테리움 IX타워 근린생활시설동 지하1층 MB2,MB3,MB4호 (영천동)",코벤트더웰의원,의원,내과 마취통증의학과 산부인과 소아청소년과 이비인후과 피부과 비뇨의학과
1069,의원,031-613-7582,"경기도 화성시 동탄구 동탄솔빛로 68, 계림빌딩 204,205호 (반송동)",김현미산부인과의원,의원,산부인과 내과 외과 심장혈관흉부외과 피부과 성형외과
1070,의원,031-8015-1375,"경기도 화성시 동탄구 동탄지성로 136, 2층 201,202호 (능동, 우리프라자)",연세키즈소아청소년과의원,의원,소아청소년과 내과 이비인후과 피부과
1071,의원,031-8003-2804,"경기도 화성시 동탄구 10용사로 349-7, 303호 (능동, 세란메디빌딩)",행복한치과의원,치과의원,구강악안면외과 치과보철과 치주과 치과보존과 통합치의학과
1072,의원,031-613-0624,"경기도 화성시 동탄구 동탄중앙로 76, 301,302호 (반송동, 서건프라자)",벗치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 치주과 치과보존과 예방치과 통합치의학과
1073,의원,031-8015-1693,"경기도 화성시 동탄구 동탄솔빛로 58, 2층 204호 (반송동, 동우프라자)",서울삼성치과교정과치과의원,치과의원,치과교정과
1074,의원,031-8015-5345,"경기도 화성시 동탄구 여울로1길 3, 1층 (능동)",으뜸한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1075,의원,031-8003-0471,"경기도 화성시 동탄구 동탄지성로 125, 3층 304호 (반송동, 토마토프라자)",경희여울한의원,한의원,한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방내과
1076,의원,031-831-8886,"경기도 화성시 동탄구 동탄중앙로 200, B동 3층 E01호 (반송동, 메타폴리스)",동탄아이누리한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과
1077,의원,031-8015-5337,"경기도 화성시 동탄구 동탄중앙로 200, B동 3층 E03호 (반송동, 메타폴리스)",그레이스피부과의원,의원,피부과
1078,의원,031-8015-5075,"경기도 화성시 동탄구 동탄중앙로 200, B블럭 3층 307,309호 (반송동, 메타폴리스)",메타폴리스치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 예방치과 통합치의학과
1079,의원,031-8015-0199,"경기도 화성시 동탄구 동탄반석로 134, 302호 (반송동, 에이치원메디컬빌딩)",함소아한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1080,의원,031-8015-2453,"경기도 화성시 동탄구 동탄지성로 126, 303호 (반송동, 정일프라자)",동탄맑은샘한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 침구과
1081,의원,031-8015-3700,"경기도 화성시 동탄구 동탄지성로 134 (능동, 한솔프라자 403호)",마음담은내과의원,의원,내과 소아청소년과 이비인후과 피부과
1082,의원,031-8003-7502,"경기도 화성시 동탄구 동탄솔빛로 51, 402호 (반송동, 인창프라자)",베스트치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 영상치의학과 예방치과 통합치의학과
1083,의원,031-8003-3379,"경기도 화성시 동탄구 동탄반석로 196, 305~307호 (반송동, 아이프라자)",건강한유외과의원,의원,외과
1084,의원,031-8003-7862,"경기도 화성시 동탄구 동탄원천로 163, 403호 (반송동, 위너스타빌딩)",고은미의원,의원,내과 소아청소년과 피부과 가정의학과
1085,의원,031-8015-1077,"경기도 화성시 동탄구 동탄원천로 163, 505,506호 (반송동, 위너스타)",예지항외과의원,의원,외과
1086,의원,031-8003-8280,"경기도 화성시 동탄구 동탄중심상가2길 2, 701,702,703호 (반송동, 아인슈타인타워)",아트라인성형외과의원,의원,성형외과
1087,의원,031-8015-1600,"경기도 화성시 동탄구 동탄원천로 163, 504호 (반송동, 위너스타)",우리들내과의원,의원,내과 소아청소년과 이비인후과 피부과
1088,의원,031-8015-0098,"경기도 화성시 동탄구 동탄원천로 163, 위너스타 5층 507-1호 (반송동)",열린성모이비인후과의원,의원,이비인후과 내과 소아청소년과
1089,의원,031-8015-2800,"경기도 화성시 동탄구 동탄반석로 134, 402호 (반송동, 에이치원메디컬센터)",에코플러스치과의원,치과의원,치과보존과 치과교정과 치과보철과 구강악안면외과
1090,의원,031-374-2401,"경기도 화성시 동탄구 동탄원천로 163, 507-2호 (반송동, 위너스타빌딩)",맑은숲한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1091,의원,031-613-0550,"경기도 화성시 동탄구 동탄중심상가2길 37, 8층 801~806호 (반송동, 필프라자)",유디치과의원,치과의원,치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
1092,의원,031-8015-2775,"경기도 화성시 동탄구 동탄지성로 143, 302호 (능동, 에버스타)",동탄뿌리한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방재활의학과
1093,의원,031-8015-0085,"경기도 화성시 동탄구 동탄원천로 163, 501호 (반송동, 위너스타)",탑앤미정형외과마취통증의학과의원,의원,정형외과 마취통증의학과 외과 내과 피부과 심장혈관흉부외과 비뇨의학과 소아청소년과 이비인후과 성형외과 가정의학과 산부인과 재활의학과 정신건강의학과 신경외과 안과
1094,의원,031-8003-2875,"경기도 화성시 동탄구 동탄지성로 134, 302호 (능동, 한솔프라자)",동탄샘치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
1095,의원,031-8015-2885,"경기도 화성시 동탄구 동탄지성로 102, 3층 301,2호 (반송동, 하나로프라자)",더바른치과의원,치과의원,치과교정과
1096,의원,031-8015-1808,"경기도 화성시 동탄구 동탄반석로 204, 401호 (반송동, 동탄제일프라자)",동탄밝은안과의원,의원,안과
1097,의원,031-8015-2875,"경기도 화성시 동탄구 동탄지성로 145, 403~404호 (능동, 영화프라자)",당신을위한치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
1098,의원,031-8015-1245,"경기도 화성시 동탄구 동탄지성로 148, 304호 (능동, 제이스프라자)",명의원,의원,안과
1099,의원,031-8015-0075,"경기도 화성시 동탄구 동탄반석로 204, 604,605호 (반송동, 제일프라자)",플러스정형외과의원,의원,내과 이비인후과 소아청소년과 성형외과 정형외과 비뇨의학과 피부과 재활의학과 심장혈관흉부외과 신경과
1100,의원,031-8015-2804,"경기도 화성시 동탄구 동탄지성로 125, 402호 (반송동, 토마토프라자)",맑은린치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
1101,의원,031-8015-1075,"경기도 화성시 동탄구 동탄지성로 134, 301호 (능동, 한솔프라자)",동탄수한의원,한의원,한방내과 한방부인과 한방안·이비인후·피부과 한방신경정신과 침구과
1102,의원,031-8003-2876,"경기도 화성시 동탄구 동탄원천로 163, 401호 (반송동, 위너스타)",아름다운턱치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과
1103,의원,031-5189-4377,경기도 화성시 동탄구 노작로 226-9 (석우동),동탄구보건소,보건소,내과
1104,의원,031-8003-7575,"경기도 화성시 동탄구 동탄지성로 139, 2~8층 (능동, 양진빌딩)",미즈파크산부인과의원,의원,피부과 산부인과 마취통증의학과 내과
1105,의원,031-613-1999,"경기도 화성시 동탄구 동탄지성로 133, 덕천프라자 303호 (능동)",동탄서울이비인후과의원,의원,이비인후과
1106,의원,0507-1458-7529,"경기도 화성시 동탄구 동탄솔빛로 62, 304호 (반송동, 리첸프라자)",키즈엔젤치과의원,치과의원,치과보철과 치과교정과 소아치과 치과보존과 예방치과
1107,의원,031-8003-7503,"경기도 화성시 동탄구 10용사로 316, 2,3층 (능동, 다건빌딩)",동탄다건연세내과의원,의원,가정의학과 소아청소년과 내과
1108,의원,031-8003-2808,"경기도 화성시 동탄구 동탄솔빛로 61, 307호 (반송동, 훼미리프라자)",미프라임치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
1109,의원,031-8003-2828,"경기도 화성시 동탄구 동탄중심상가1길 5, 401,402호 (반송동, 동탄프라자)",서울키즈치과의원,치과의원,소아치과
1110,의원,031-613-7500,"경기도 화성시 동탄구 동탄반석로 144, 302호 (반송동)",이플러스구강악안면외과치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 치주과 치과보존과 구강병리과
1111,의원,031-8003-8228,"경기도 화성시 동탄구 동탄지성로 126, 정일프라자 301호 (반송동)",동탄서울리더스치과의원,치과의원,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
1112,의원,031-8003-6588,"경기도 화성시 동탄구 10용사로 343-2 (능동, 폴리클리닉)",연세내과의원,의원,내과 소아청소년과 이비인후과 피부과 영상의학과 비뇨의학과 외과
1113,의원,031-613-6275,"경기도 화성시 동탄구 동탄지성로 134, 402호 (능동, 한솔프라자)",김덕하소아청소년과의원,의원,내과 소아청소년과 이비인후과 피부과
1114,의원,031-8003-5888,"경기도 화성시 동탄구 동탄솔빛로 51, 401,402호 (반송동, 인창프라자)",의인한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1115,의원,031-8003-2882,"경기도 화성시 동탄구 10용사로 349-3, 엘리트타워 403호,404일부호 (능동)",닥터스마일치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
1116,의원,031-8003-5277,"경기도 화성시 동탄구 동탄반석로 124, 504호 (반송동, 센타프라자)",임승빈내과의원,의원,내과 소아청소년과
1117,의원,031-613-8811,"경기도 화성시 동탄구 동탄반석로 204, 402,403호 (반송동, 제일프라자)",청담맑은피부과의원,의원,피부과
1118,의원,031-613-6780,"경기도 화성시 동탄구 동탄솔빛로 68, 402호 (반송동, 계림네이처)",경희나루한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1119,의원,031-8003-8555,"경기도 화성시 동탄구 동탄지성로 144, 201호 (능동, 아이비타워)",경희참사랑한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1120,의원,031-8003-7582,"경기도 화성시 동탄구 동탄지성로 141, 403호 (능동, 아크리아빌딩)",동탄연세이비인후과의원,의원,소아청소년과 안과 이비인후과 피부과
1121,의원,031-8003-2080,"경기도 화성시 동탄구 동탄지성로 133, 403호 (능동, 덕촌프라자)",가나팀치과의원,치과의원,치과보철과
1122,의원,031-8003-9003,"경기도 화성시 동탄구 동탄솔빛로 48, 2,3,4,층 (반송동, 거택프라자)",21세기우리의원,의원,내과 소아청소년과 정형외과 안과 비뇨의학과 영상의학과 마취통증의학과 이비인후과
1123,의원,031-8003-5075,"경기도 화성시 동탄구 동탄솔빛로 64, 가희프라자2 302호,506일부호 (반송동)",연세프라임이비인후과의원,의원,내과 이비인후과 소아청소년과 안과
1124,의원,031-8003-7070,"경기도 화성시 동탄구 동탄반석로 196, 302,303호 (반송동, 아이프라자)",베스탑비뇨기과의원,의원,피부과 비뇨의학과
1125,의원,031-8003-3119,"경기도 화성시 동탄구 동탄반석로 130, 드림프라자 403호 (반송동)",하얀세상의원,의원,피부과
1126,의원,031-8003-0009,"경기도 화성시 동탄구 동탄솔빛로 68, 302호 (반송동, 계림네이쳐)",동탄예치과의원,치과의원,치과교정과 구강내과
1127,의원,031-8003-8275,"경기도 화성시 동탄구 동탄솔빛로 44, 301, 302호 (반송동, 신성프라자)",상쾌한이비인후과의원,의원,내과 이비인후과 소아청소년과 피부과 성형외과
1128,의원,031-613-3597,"경기도 화성시 동탄구 동탄솔빛로 67, 6층 603~605호 (반송동, 성우프라자)",속편한내과의원,의원,내과 소아청소년과 외과 이비인후과 정형외과 비뇨의학과
1129,의원,031-613-0810,"경기도 화성시 동탄구 동탄솔빛로 64, 3층 (반송동, 가희프라자)",에이치드림정형외과의원,의원,내과 정형외과 신경외과 재활의학과 산부인과
1130,의원,031-8003-1110,"경기도 화성시 동탄구 동탄솔빛로 67, 301호 (반송동, 성우프라자)",수피부과의원,의원,피부과
1131,의원,031-613-4040,"경기도 화성시 동탄구 동탄솔빛로 48, 4층 401호 (반송동, 거택프라자)",수비자연한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1132,의원,031-613-3696,"경기도 화성시 동탄구 동탄솔빛로 48, 거택프라자 402호 (반송동)",연세에이스치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 치주과 치과보존과
1133,의원,031-258-0100,"경기도 화성시 동탄구 동탄솔빛로 44, 6층 (반송동, 신성프라자)",굿아이동탄이안과의원,의원,안과 내과
1134,의원,031-613-7522,"경기도 화성시 동탄구 동탄솔빛로 67, 404호 (반송동, 성우프라자)",동탄연세미소치과의원,치과의원,통합치의학과
1135,의원,031-8003-0001,"경기도 화성시 동탄구 동탄솔빛로 67, 303호 (반송동, 성우프라자)",삼성제일소아청소년과의원,의원,소아청소년과
1136,의원,031-8003-0303,"경기도 화성시 동탄구 동탄솔빛로 67, 402호 (반송동, 성우프라자)",드림한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1137,의원,031-613-2876,"경기도 화성시 동탄구 동탄반석로 204, 501호 (반송동, 제일프라자)",동탄굿모닝치과의원,치과의원,통합치의학과
1138,의원,031-613-7227,"경기도 화성시 동탄구 동탄반석로 204, 603호 (반송동, 제일프라자)",우리아이소아청소년과의원,의원,내과 소아청소년과 이비인후과 피부과 비뇨의학과 정신건강의학과
1139,의원,031-613-0022,"경기도 화성시 동탄구 동탄반석로 204, 6층 602호 (반송동, 제일프라자)",삼성내과의원,의원,내과
1140,의원,031-8003-3388,"경기도 화성시 동탄구 동탄반석로 196, 6층 601~603호 (반송동, 아이프라자)",심현남동탄제일산부인과의원,의원,산부인과
1141,의원,031-613-2820,"경기도 화성시 동탄구 동탄반석로 120, 304,305호 (반송동, 제일프라자)",동탄미래치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과
1142,의원,031-613-2575,"경기도 화성시 동탄구 동탄반석로 196, 5층 505호 (반송동, 아이프라자)",코앤미이비인후과의원,의원,이비인후과 내과
1143,의원,031-613-7591,"경기도 화성시 동탄구 동탄반석로 204, 504호 (반송동, 제일프라자)",경희맥한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1144,의원,031-613-2119,"경기도 화성시 동탄구 동탄중심상가1길 40, 403~405호 (반송동, 엔터프라임빌딩)",동탄연세안과의원,의원,안과
1145,의원,031-613-6080,"경기도 화성시 동탄구 동탄중앙로 200, B블럭(상가동) 312~313호호 (반송동, 메타폴리스)",동탄연세소아청소년과의원,의원,내과 소아청소년과 피부과 안과 이비인후과
1146,의원,031-613-7536~7,"경기도 화성시 동탄구 동탄반석로 130, 502호 (반송동, 드림프라자)",편안한내과의원,의원,내과 소아청소년과 이비인후과 피부과 비뇨의학과
1147,의원,031-613-3350,"경기도 화성시 동탄구 동탄반석로 144, 502호 (반송동, 동탄스카이뷰빌딩)",미소가득한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1148,의원,0507-1418-2834,"경기도 화성시 동탄구 동탄지성로 84, 3층 303호 (반송동, 파크프라자)",조남영치과의원,치과의원,통합치의학과
1149,의원,031-613-5311,"경기도 화성시 동탄구 동탄반석로 124, 505호 (반송동, 센터프라자)",동탄경희한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1150,의원,031-613-9975,"경기도 화성시 동탄구 동탄반석로 204, 502호 (반송동, 동탄제일프라자)",현이비인후과의원,의원,소아청소년과 이비인후과
1151,의원,031-613-2080,"경기도 화성시 동탄구 동탄반석로 130, 402호 (반송동, 드림프라자)",동탄본치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 영상치의학과 예방치과 통합치의학과
1152,의원,031-613-1075,"경기도 화성시 동탄구 동탄지성로 84, 304호 (반송동, 파크프라자)",자연한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1153,의원,031-613-0075,"경기도 화성시 동탄구 동탄반석로 196, 401,402호 (반송동, 아이프라자)",성모플러스내과의원,의원,내과 소아청소년과 이비인후과 정형외과 외과 피부과 비뇨의학과
1154,의원,031-613-2275,"경기도 화성시 동탄구 동탄반석로 196, 503호 (반송동, 아이프라자)",서울웰치과의원,치과의원,통합치의학과
1155,의원,031-613-3313,"경기도 화성시 동탄구 동탄중심상가1길 40, 301호 (반송동, 엔터프라임빌딩)",하나비뇨기과의원,의원,피부과 비뇨의학과
1156,의원,031-613-3223,"경기도 화성시 동탄구 동탄반석로 130, 602호 (반송동, 드림프라자)",코즈이비인후과의원,의원,내과 이비인후과 소아청소년과
1157,의원,031-613-2131,"경기도 화성시 동탄구  동탄중심상가1길  40, 502호 (반송동)",동일경희한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1158,의원,031-638-0175,"경기도 화성시 동탄구 동탄대로5길 9, 더샵 동탄센텀폴리스 2단지 2002,2003호 (송동)",동탄함소아한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
1159,의원,031-378-9407,"경기도 화성시 동탄구 동탄순환대로14길 7, 블랑파크 5층 503,504호 (산척동)",동탄엄이비인후과의원,의원,이비인후과
1160,약국,031-8043-2702,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 A동 1114~1115호 (여울동)",동탄스마일약국,약국,자료 미집계
1161,약국,자료미집계,"경기도 화성시 동탄구 동탄순환대로16길 15, 111~112호 (산척동)",365 온가족 약국,약국,자료 미집계
1162,약국,자료미집계,"경기도 화성시 동탄구 동탄대로 676, 힐스테이트 동탄역 멀티플라이어 B112호 (영천동)",동탄웰약국,약국,자료 미집계
1163,약국,031-8043-4481,"경기도 화성시 동탄구 큰재봉길 23-11, 동탄 삼성쉐르빌 111,112호 (석우동)",동탄건강약국,약국,자료 미집계
1164,약국,031-8043-4481,"경기도 화성시 동탄구 큰재봉길 23-11, 동탄 삼성쉐르빌 111,112호 (석우동)",동탄건강약국,약국,자료 미집계
1165,약국,031-372-7150,"경기도 화성시 동탄구 동탄순환대로12길 8, 105호 (산척동)",판다약국,약국,자료 미집계
1166,약국,031-376-0356,"경기도 화성시 동탄구 동탄신리천로 268, 109호 (여울동)",희망찬약국,약국,자료 미집계
1167,약국,031-373-6539,"경기도 화성시 동탄구 동탄대로5길 9, 더샵 동탄센텀폴리스 2단지 1012호 외 7개호 (송동)",동탄메가온누리약국,약국,자료 미집계
1168,약국,031-8015-5286,"경기도 화성시 동탄구 삼성1로 144-9, 108호 (석우동)",삼성제일약국,약국,자료 미집계
1169,약국,031-8043-5879,"경기도 화성시 동탄구 삼성1로 144-13, 101호 (석우동)",성심제일약국,약국,자료 미집계
1170,약국,031-378-9551,"경기도 화성시 동탄구 동탄순환대로 4, 106,107호 (장지동)",아리랑약국,약국,자료 미집계
1171,약국,070-8657-0894,"경기도 화성시 동탄구 동탄솔빛로 44, 신성프라자 105호 (반송동)",동탄새봄약국,약국,자료 미집계
1172,약국,031-613-7680,"경기도 화성시 동탄구 큰재봉길 23-11, 동탄 삼성쉐르빌 1층 101호 (석우동)",맑은샘약국,약국,자료 미집계
1173,약국,031-613-1137,"경기도 화성시 동탄구 동탄반석로 196, 403호 (반송동, 아이프라자상가동)",조은약국,약국,자료 미집계
1174,약국,031-613-1137,"경기도 화성시 동탄구 동탄반석로 196, 403호 (반송동, 아이프라자상가동)",조은약국,약국,자료 미집계
1175,약국,031-377-4152,"경기도 화성시 동탄구 동탄오산로 29, B동 144호 (여울동)",동탄퍼스트약국,약국,자료 미집계
1176,약국,031-376-8276,"경기도 화성시 동탄구 동탄순환대로 707, 대성프라자 103호,104호 (영천동)",핑크온누리약국,약국,자료 미집계
1177,약국,031-8003-1121,"경기도 화성시 동탄구 동탄중앙로 381-7, 109호 (석우동)",초록나무약국,약국,자료 미집계
1178,약국,031-8015-5464,"경기도 화성시 동탄구 동탄중앙로 381-7, 성심프라자 108호 (석우동)",성심프라자약국,약국,자료 미집계
1179,약국,031-8015-5464,"경기도 화성시 동탄구 동탄중앙로 381-7, 성심프라자 108호 (석우동)",성심프라자약국,약국,자료 미집계
1180,약국,070-7622-6975,"경기도 화성시 동탄구 동탄기흥로353번길 99-3, 101호 (여울동)",단우약국,약국,자료 미집계
1181,약국,031-8050-0065,"경기도 화성시 동탄구 동탄역로 150, 상가B동 1층 131호 (여울동, 동탄역 롯데캐슬)",동탄역365건강한세상행복한약국,약국,자료 미집계
1182,약국,031-8003-7787,"경기도 화성시 동탄구 노작로1가길 8, 101~105호 (반송동)",동탄제일큰약국,약국,자료 미집계
1183,한약국,자료미집계,"경기도 화성시 동탄구 동탄역로 160, 동탄역 롯데백화점 동탄점 지하1층 (여울동)",동탄바라기한약국,한약국,자료 미집계
1184,약국,자료미집계,"경기도 화성시 동탄구 여울로 19, 102호 (능동)",구름약국,약국,자료 미집계
1185,약국,031-372-1288,"경기도 화성시 동탄구 동탄영천로 150, S동 191호 (영천동)",앨리약국,약국,자료 미집계
1186,약국,031-374-8010,"경기도 화성시 동탄구 동탄기흥로 393-20, 219호 (여울동, 동탄역 파라곤)",서울온누리약국,약국,자료 미집계
1187,약국,031-378-9845,"경기도 화성시 동탄구 동탄순환대로14길 7, 116,117호 (산척동)",힘나는 약국,약국,자료 미집계
1188,약국,031-375-2585,"경기도 화성시 동탄구 동탄대로 495, 108호 (여울동)",동탄프라자약국,약국,자료 미집계
1189,약국,031-8043-9221,"경기도 화성시 동탄구 동탄감배산로 143, 203동 162호 (여울동, 동탄역 유림노르웨이숲)",오슬로약국,약국,자료 미집계
1190,한약국,031-376-7957,"경기도 화성시 동탄구 동탄기흥로257번가길 7, 1동 1층 106호 (방교동)",방교바른약국,한약국,자료 미집계
1191,약국,031-613-4783,"경기도 화성시 동탄구 동탄지성로 121, 1층 101호 (반송동)",만세온누리약국,약국,자료 미집계
1192,약국,031-373-0903,"경기도 화성시 동탄구 동탄영천로 81-13, 1층 (영천동)","안녕하세요, 약국",약국,자료 미집계
1193,약국,031-378-8545,"경기도 화성시 동탄구 동탄대로4길 47, AJ프라자 107호 (장지동)",동탄365약국,약국,자료 미집계
1194,약국,자료미집계,"경기도 화성시 동탄구 동탄대로시범길 148-14, 106호 (청계동)",나무약국,약국,자료 미집계
1195,약국,031-374-9500,"경기도 화성시 동탄구 동탄대로5길 15, 더샵 동탄센텀폴리스 1단지 12블록 1층 1009호 (송동)",코코약국,약국,자료 미집계
1196,약국,031-375-0977,"경기도 화성시 동탄구 동탄대로5길 15, 그랑파사쥬 4층 4023~4026(일부)호 (송동)",레이크율약국,약국,자료 미집계
1197,약국,031-377-8671,"경기도 화성시 동탄구 동탄순환대로 127-17, 동탄2우성메디피아 1층 110,111호 (산척동)",건강약국,약국,자료 미집계
1198,약국,031-377-6234,"경기도 화성시 동탄구 동탄대로5길 9, 더샵 동탄센텀폴리스 2단지 4층 4008,4009호 (송동)",준약국,약국,자료 미집계
1199,약국,031-372-0322,"경기도 화성시 동탄구 동탄영천로 81-5, 107호 (영천동)",다원약국,약국,자료 미집계
1200,약국,031-8003-3355,"경기도 화성시 동탄구 동탄솔빛로 44, 신성프라자 1층 104호 (반송동)",푸른약국,약국,자료 미집계
1201,약국,031-8077-4774,"경기도 화성시 동탄구 동탄대로1길 3, 1층 107호 (장지동)",금호약국,약국,자료 미집계
1202,약국,031-376-0714,"경기도 화성시 동탄구 동탄대로 489, 동탄역우성타워 1층 102,130호 (여울동)",박하약국,약국,자료 미집계
1203,약국,031-8043-5796,"경기도 화성시 동탄구 동탄순환대로 689, 1층 105호 (영천동)",동탄중앙약국,약국,자료 미집계
1204,약국,031-373-0118,"경기도 화성시 동탄구 동탄신리천로 406, 리더스퀘어 1층 114호 (목동)",참약사참약국,약국,자료 미집계
1205,약국,031-377-2045,"경기도 화성시 동탄구 동탄순환대로20길 45, 상가동 203호 (목동, 동탄 금강펜테리움 센트럴파크Ⅳ)",나음온누리약국,약국,자료 미집계
1206,약국,031-373-3401,"경기도 화성시 동탄구 동탄대로 446, 1029,1030호 (청계동)",삼성약국,약국,자료 미집계
1207,약국,031-8077-4718,"경기도 화성시 동탄구 동탄지성로 134, 한솔프라자 108호 (능동)",정약국,약국,자료 미집계
1208,약국,070-4833-8901,"경기도 화성시 동탄구 동탄순환대로 127-27, B109호 (산척동)",동탄공원약국,약국,자료 미집계
1209,약국,070-4647-2494,"경기도 화성시 동탄구 동탄대로 551-16, 동탄역 푸르지오시티 B동 328호 (여울동)",보배약국,약국,자료 미집계
1210,약국,031-374-0630,"경기도 화성시 동탄구 동탄대로 451, 트레이더스 동탄점 1층 (여울동)",즐거운약국,약국,자료 미집계
1211,약국,031-8015-1051,"경기도 화성시 동탄구 동탄지성로 17, 125호 (반송동, 동탄 위버폴리스)",아이사랑약국,약국,자료 미집계
1212,약국,031-8015-1051,"경기도 화성시 동탄구 동탄지성로 17, 125호 (반송동, 동탄 위버폴리스)",아이사랑약국,약국,자료 미집계
1213,약국,자료미집계,"경기도 화성시 동탄구 동탄대로 683, SH스퀘어2 116-1호 (영천동)",동약국,약국,자료 미집계
